publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,notes,publisher_name,publication_type,date_monograph_published_print,date_monograph_published_online,monograph_volume,monograph_edition,first_editor,parent_publication_title_id,preceding_publication_title_id,access_type,full_coverage,collection,discipline,catalog_identifier_oclc,catalog_identifier_lccn,archive_release_date,publication_date,grouped_id,lineage,parent,processed_date_first_issue_online,processed_date_last_issue_online,lineage_active_years,lineage_active_years_bin,coerced_date_first_issue_online,coerced_date_last_issue_online,unique_discipline,wikidata_url,wikipedia_url,wikidata_title,aggregated_disciplines,title_active_years,title_active_years_bin,unique_title_discipline,unique_lineage_discipline,discipline_count_per_title,discipline_count_per_lineage,processed_publisher_name,updated_discipline_count_per_lineage,qid,lineage_has_wiki,title_has_wiki
Philosophical Transactions (1665-1678),0370-2316,,1665-01-01,1,,1677-01-01,12,,https://www-jstor-org.proxy2.library.illinois.edu/journal/philtran1665167,,philtran1665167,,fulltext,,Royal Society,serial,,,,,,philtran1683177,,P,1665-01-01 - 1677-01-01,JSTOR Archival Journal & Primary Source Collection ; Mathematics & Statistics Collection ; Life Sciences Collection ; Health & General Sciences Collection,Biological Sciences ; General Science ; Mathematics ; Science & Mathematics,45610012,00-227480,2000-12-22,,philtran1665167,philtran1665167,philtran1683177,1665-01-01,1677-01-01,487,binned_3,,,False,http://www.wikidata.org/entity/Q913162,https://en.wikipedia.org/wiki/Philosophical_Transactions_of_the_Royal_Society,Philosophical Transactions,Biological Sciences ; General Science ; Mathematics ; Science & Mathematics,13,binned_1,True,True,4,4,Royal Society,4,Q913162,True,True
Philosophical Transactions (1683-1775),0260-7085,,1683-01-01,13,,1775-01-01,65,,https://www-jstor-org.proxy2.library.illinois.edu/journal/philtran1683177,,philtran1683177,,fulltext,,Royal Society,serial,,,,,,philtranroyasoc3,philtran1665167,P,1683-01-01 - 1775-01-01,JSTOR Archival Journal & Primary Source Collection ; Mathematics & Statistics Collection ; Life Sciences Collection ; Health & General Sciences Collection,Biological Sciences ; General Science ; Mathematics ; Science & Mathematics,45610194,00-227481,2000-12-22,,philtran1665167,philtran1665167,philtranroyasoc3,1683-01-01,1775-01-01,487,binned_3,1683-01-01,1775-01-01,False,http://www.wikidata.org/entity/Q21386169,https://en.wikipedia.org/wiki/Philosophical_Transactions_of_the_Royal_Society,"Philosophical Transactions of the Royal Society, London",Biological Sciences ; General Science ; Mathematics ; Science & Mathematics,93,binned_3,True,True,4,4,Royal Society,4,Q21386169,True,True
Transactions of the American Philosophical Society,0065-9746,,1769-01-01,1,,2023-01-01,112,1,https://www-jstor-org.proxy2.library.illinois.edu/journal/tranamerphilsoci,,tranamerphilsoci,,fulltext,Content for this title is released as soon as the latest issues become available to JSTOR.,American Philosophical Society,serial,,,,,,,,P,1769-01-01 - 2023-01-01,JSTOR Essential Collection ; JSTOR Archival Journal & Primary Source Collection ; Arts & Sciences VII Collection,History,55125852,2004-235674,2004-05-12,,tranamerphilsoci,tranamerphilsoci,tranamerphilsoci,1769-01-01,2023-01-01,255,binned_3,1769-01-01,2023-01-01,True,http://www.wikidata.org/entity/Q28807280,,Transactions of the American Philosophical Society,History,255,binned_3,True,True,1,1,American Philosophical Society,1,Q28807280,True,True
Philosophical Transactions of the Royal Society of London,0261-0523,,1776-01-01,66,,1886-01-01,177,,https://www-jstor-org.proxy2.library.illinois.edu/journal/philtranroyasoc3,,philtranroyasoc3,,fulltext,,Royal Society,serial,,,,,,philtranroyasoc5,philtran1683177,P,1776-01-01 - 1886-01-01,JSTOR Archival Journal & Primary Source Collection ; Mathematics & Statistics Collection ; Life Sciences Collection ; Health & General Sciences Collection,Biological Sciences ; General Science ; Mathematics ; Science & Mathematics,45610575,00-227482,2000-12-22,,philtran1683177,philtran1665167,philtranroyasoc5,1776-01-01,1886-01-01,487,binned_3,1776-01-01,1886-01-01,False,http://www.wikidata.org/entity/Q21386169,https://en.wikipedia.org/wiki/Philosophical_Transactions_of_the_Royal_Society,"Philosophical Transactions of the Royal Society, London",Biological Sciences ; General Science ; Mathematics ; Science & Mathematics,111,binned_3,True,True,4,4,Royal Society,4,,True,True
"Transactions of the Society, Instituted at London, for the Encouragement of Arts, Manufactures, and Commerce",2049-7873,,1783-01-01,1,,1843-01-01,55,,https://www-jstor-org.proxy2.library.illinois.edu/journal/transoclon,,transoclon,,fulltext,Content for this title is released as soon as the latest issues become available to JSTOR.,"RSA The royal society for arts, manufactures and commerce",serial,,,,,,jsociarts,,P,1783-01-01 - 1843-01-01,JSTOR Archival Journal & Primary Source Collection ; Business & Economics Collection ; Arts & Sciences XI Collection,Art & Art History ; Arts ; Business ; Business & Economics ; Education ; History ; History of Science & Technology ; Social Sciences,663383249,2013-235101,2012-08-31,,transoclon,transoclon,jsociarts,1783-01-01,1843-01-01,235,binned_3,1783-01-01,1843-01-01,True,http://www.wikidata.org/entity/Q29994999,,"Transactions of the Society, Instituted at London, for the Encouragement of Arts, Manufactures, and Commerce",Art & Art History ; Arts ; Business ; Business & Economics ; Education ; History ; History of Science & Technology ; Social Sciences,61,binned_3,True,True,8,8,"RSA The royal society for arts, manufactures and commerce",8,Q29994999,True,True
The Transactions of the Royal Irish Academy,0790-8113,,1787-01-01,1,,1906-01-01,33,,https://www-jstor-org.proxy2.library.illinois.edu/journal/tranroyairisacad,,tranroyairisacad,,fulltext,Publication of this title ceased in 1907.,Royal Irish Academy,serial,,,,,,,,P,1787-01-01 - 1906-01-01,Ireland Collection ; JSTOR Archival Journal & Primary Source Collection,Area Studies ; History ; Irish Studies,320636289,2009-235094,2009-05-08,,tranroyairisacad,tranroyairisacad,tranroyairisacad,1787-01-01,1906-01-01,120,binned_3,1787-01-01,1906-01-01,True,,,,Area Studies ; History ; Irish Studies,120,binned_3,True,True,3,3,Royal Irish Academy,3,,False,False
Proceedings of the Massachusetts Historical Society,0076-4981,,1791-01-01,1,,1997-01-01,109,,https://www-jstor-org.proxy2.library.illinois.edu/journal/procmasshistsoci,,procmasshistsoci,,fulltext,,Massachusetts Historical Society,serial,,,,,,masshistrevi,,P,1791-01-01 - 1997-01-01,JSTOR Archival Journal & Primary Source Collection ; Arts & Sciences V Collection,American Studies ; Area Studies ; History,297310150,2009-235089,2009-02-23,,procmasshistsoci,procmasshistsoci,masshistrevi,1791-01-01,1997-01-01,229,binned_3,1791-01-01,1997-01-01,True,http://www.wikidata.org/entity/Q27716012,,Proceedings of the Massachusetts Historical Society,American Studies ; Area Studies ; History,207,binned_3,True,True,3,3,Massachusetts Historical Society,3,Q27716012,True,True
The Anti-Union,2009-1672,,1798-12-27,,1,1799-03-09,,32,https://www-jstor-org.proxy2.library.illinois.edu/journal/anti-union,,anti-union,,fulltext,Publication of this title ceased in 1799.,,serial,,,,,,,,P,1798-12-27 - 1799-03-09,Ireland Collection ; JSTOR Archival Journal & Primary Source Collection,Area Studies ; History ; Irish Studies ; Political Science ; Social Sciences,288972060,2009-235224,2009-03-20,,anti-union,anti-union,anti-union,1798-12-27,1799-03-09,2,binned_0,1798-12-27,1799-03-09,True,http://www.wikidata.org/entity/Q55174643,,The Anti-Union,Area Studies ; History ; Irish Studies ; Political Science ; Social Sciences,2,binned_0,True,True,5,5,,5,Q55174643,True,True
Abstracts of the Papers Printed in the Philosophical Transactions of the Royal Society of London,0365-5695,,1800-01-01,1,,1837-01-01,4,,https://www-jstor-org.proxy2.library.illinois.edu/journal/abstpapeprinphil,,abstpapeprinphil,,fulltext,,Royal Society,serial,,,,,,abstpapecommroya,,P,1800-01-01 - 1837-01-01,JSTOR Archival Journal & Primary Source Collection ; Mathematics & Statistics Collection ; Life Sciences Collection ; Health & General Sciences Collection,Biological Sciences ; General Science ; Mathematics ; Science & Mathematics,45610580,00-227483,2000-12-22,,abstpapeprinphil,abstpapeprinphil,abstpapecommroya,1800-01-01,1837-01-01,331,binned_3,1800-01-01,1837-01-01,False,,,,Biological Sciences ; General Science ; Mathematics ; Science & Mathematics,38,binned_2,True,True,4,4,Royal Society,4,,True,False
The Belfast Monthly Magazine,1758-1605,,1808-09-01,1,1,1814-12-31,13,77,https://www-jstor-org.proxy2.library.illinois.edu/journal/belfmontmaga,,belfmontmaga,,fulltext,Publication of this title ceased in 1814.,,serial,,,,,,,,P,1808-09-01 - 1814-12-31,Ireland Collection ; JSTOR Archival Journal & Primary Source Collection,Area Studies ; Irish Studies,320636351,2009-235090,2009-05-08,,belfmontmaga,belfmontmaga,belfmontmaga,1808-09-01,1814-12-31,7,binned_0,1808-09-01,1814-12-31,True,http://www.wikidata.org/entity/Q63684444,,The Belfast Monthly Magazine,Area Studies ; Irish Studies,7,binned_0,True,True,2,2,,2,Q63684444,True,True
The North-American Review and Miscellaneous Journal,1945-7863,,1815-05-01,1,1,1821-04-01,12,31,https://www-jstor-org.proxy2.library.illinois.edu/journal/nortamerrevmiscj,,nortamerrevmiscj,,fulltext,,University of Northern Iowa,serial,,,,,,nortamerrev,,P,1815-05-01 - 1821-04-01,JSTOR Archival Journal & Primary Source Collection ; Arts & Sciences V Collection,Humanities ; Language & Literature,50608083,2008-266647,2009-06-16,,nortamerrevmiscj,nortamerrevmiscj,nortamerrev,1815-05-01,1821-04-01,208,binned_3,1815-05-01,1821-04-01,True,http://www.wikidata.org/entity/Q69803197,,The North-American Review and Miscellaneous Journal,Humanities ; Language & Literature,7,binned_0,True,True,2,2,University of Northern Iowa,2,Q69803197,True,True
Archiv für die civilistische Praxis,0003-8997,1868-7113,1818-01-01,1,1,2017-12-01,217,6,https://www-jstor-org.proxy2.library.illinois.edu/journal/archciviprax,,archciviprax,P6Y,fulltext,,Mohr Siebeck GmbH & Co. KG,serial,,,,,,,,P,1818-01-01 - 2017-12-01,JSTOR Archival Journal & Primary Source Collection ; Arts & Sciences X Collection,Law,60639611,2013-235046,2012-07-20,,archciviprax,archciviprax,archciviprax,1818-01-01,2017-12-01,200,binned_3,1818-01-01,2017-12-01,True,http://www.wikidata.org/entity/Q635656,,Archiv für die civilistische Praxis,Law,200,binned_3,True,True,1,1,Mohr Siebeck GmbH & Co. KG,1,Q635656,True,True
"Journal des voyages, découvertes et navigations modernes",1245-9658,2645-2197,1819-03-01,2,5,1829-12-01,44,134,https://www-jstor-org.proxy2.library.illinois.edu/journal/jvoyadeconavimod,,jvoyadeconavimod,,fulltext,,Revue des Deux Mondes,serial,,,,,,revudeuxmond1829,,P,1819-03-01 - 1829-12-01,JSTOR Archival Journal & Primary Source Collection ; Arts & Sciences XV Collection,History ; Humanities ; Language & Literature,682473194,,2019-01-31,,jvoyadeconavimod,jvoyadeconavimod,revudeuxmond1829,1819-03-01,1829-12-01,214,binned_3,1819-03-01,1829-12-01,True,,,,History ; Humanities ; Language & Literature,11,binned_0,True,True,3,3,Revue des Deux Mondes,3,,True,False
The Cambro-Briton,1757-9953,,1819-09-01,1,1,1822-06-01,3,30,https://www-jstor-org.proxy2.library.illinois.edu/journal/cambrobriton,,cambrobriton,,fulltext,Publication of this title ceased in 1822.,,serial,,,,,,,,P,1819-09-01 - 1822-06-01,Ireland Collection ; JSTOR Archival Journal & Primary Source Collection,Area Studies ; Irish Studies,297881938,2009-235218,2009-03-06,,cambrobriton,cambrobriton,cambrobriton,1819-09-01,1822-06-01,4,binned_0,1819-09-01,1822-06-01,True,,,,Area Studies ; Irish Studies,4,binned_0,True,True,2,2,,2,,False,False
The North American Review,0029-2397,2329-1907,1821-07-01,13,32,2021-10-01,306,3,https://www-jstor-org.proxy2.library.illinois.edu/journal/nortamerrev,,nortamerrev,P2Y,fulltext,,University of Northern Iowa,serial,,,,,,,nortamerrevmiscj,P,1821-07-01 - 2021-10-01,JSTOR Archival Journal & Primary Source Collection ; Arts & Sciences V Collection,Humanities ; Language & Literature,48165634,2008-266648,2009-06-16,,nortamerrevmiscj,nortamerrevmiscj,nortamerrev,1821-07-01,2021-10-01,208,binned_3,1821-07-01,2021-10-01,True,http://www.wikidata.org/entity/Q3344093,https://en.wikipedia.org/wiki/North_American_Review,North American Review,Humanities ; Language & Literature,201,binned_3,True,True,2,2,University of Northern Iowa,2,Q3344093,True,True
Transactions of the Royal Asiatic Society of Great Britain and Ireland,0950-4737,,1824-01-01,1,1,1834-01-01,3,3,https://www-jstor-org.proxy2.library.illinois.edu/journal/tranrasgrbritire,,tranrasgrbritire,,fulltext,,Cambridge University Press,serial,,,,,,jroyasiasocgrbi,,P,1824-01-01 - 1834-01-01,JSTOR Archival Journal & Primary Source Collection ; Asia Collection ; Arts & Sciences V Collection,Area Studies ; Asian Studies,426828454,2010-234844,2009-07-31,,tranrasgrbritire,tranrasgrbritire,jroyasiasocgrbi,1824-01-01,1834-01-01,195,binned_3,1824-01-01,1834-01-01,True,http://www.wikidata.org/entity/Q6296185,https://en.wikipedia.org/wiki/Journal_of_the_Royal_Asiatic_Society,Journal of the Royal Asiatic Society,Area Studies ; Asian Studies,11,binned_0,True,True,2,2,Cambridge University Press,2,Q6296185,True,True
The Belfast Magazine and Literary Journal,1757-045X,,1825-02-01,1,1,1825-07-01,1,6,https://www-jstor-org.proxy2.library.illinois.edu/journal/belfmagalitej,,belfmagalitej,,fulltext,Publication of this title ceased in 1825.,,serial,,,,,,,,P,1825-02-01 - 1825-07-01,Ireland Collection ; JSTOR Archival Journal & Primary Source Collection,Area Studies ; Humanities ; Irish Studies ; Language & Literature,438294120,2009-235668,2009-09-23,,belfmagalitej,belfmagalitej,belfmagalitej,1825-02-01,1825-07-01,1,binned_0,1825-02-01,1825-07-01,True,,,,Area Studies ; Humanities ; Irish Studies ; Language & Literature,1,binned_0,True,True,4,4,,4,,False,False
"Rheinisches Museum für Philologie, Geschichte und griechische Philosophie",0939-2718,,1827-01-01,1,,1832-01-01,3,4,https://www-jstor-org.proxy2.library.illinois.edu/journal/rheimusephilgesc,,rheimusephilgesc,,fulltext,,J.D. Sauerländers Verlag,serial,,,,,,rheimusephil,,P,1827-01-01 - 1832-01-01,JSTOR Archival Journal & Primary Source Collection ; Arts & Sciences XI Collection,Classical Studies ; Humanities,665117682,2013-234887,2012-06-15,,rheimusephilgesc,rheimusephilgesc,rheimusephil,1827-01-01,1832-01-01,194,binned_3,1827-01-01,1832-01-01,True,,,,Classical Studies ; Humanities,6,binned_0,True,True,2,2,J.D. Sauerländers Verlag,2,,True,False
"Archief voor kerkelijke geschiedenis, inzonderheid van Nederland",0921-9951,2589-7136,1829-01-01,1,,1840-01-01,11,,https://www-jstor-org.proxy2.library.illinois.edu/journal/archkerkgescinzn,,archkerkgescinzn,,fulltext,,Brill,serial,,,,,,nedearchkerkgesc,,P,1829-01-01 - 1840-01-01,JSTOR Archival Journal & Primary Source Collection ; Arts & Sciences XIII Collection ; Religion & Theology Collection,History ; Humanities ; Religion,565415624,,2018-03-26,,archkerkgescinzn,archkerkgescinzn,nedearchkerkgesc,1829-01-01,1840-01-01,24,binned_0,1829-01-01,1840-01-01,True,,,,History ; Humanities ; Religion,12,binned_0,True,True,3,3,Brill,3,,False,False
Revue des Deux Mondes (1829-1971),0035-1962,2266-4734,1829-07-01,1,,1971-12-01,,,https://www-jstor-org.proxy2.library.illinois.edu/journal/revudeuxmond1829,,revudeuxmond1829,,fulltext,,Revue des Deux Mondes,serial,,,,,,hommesmondes,jvoyadeconavimod,P,1829-07-01 - 1971-12-01,JSTOR Archival Journal & Primary Source Collection ; Arts & Sciences XV Collection,History ; Humanities ; Language & Literature,565385724,,2018-04-27,,jvoyadeconavimod,jvoyadeconavimod,hommesmondes,1829-07-01,1971-12-01,214,binned_3,1829-07-01,1971-12-01,True,,,,History ; Humanities ; Language & Literature,143,binned_3,True,True,3,3,Revue des Deux Mondes,3,,True,False
The Dublin Literary Gazette,2009-1648,,1830-01-02,,1,1830-06-26,,26,https://www-jstor-org.proxy2.library.illinois.edu/journal/dubllitegaze,,dubllitegaze,,fulltext,Publication of this title ceased in 1831.,,serial,,,,,,nationalmagazine,,P,1830-01-02 - 1830-06-26,Ireland Collection ; JSTOR Archival Journal & Primary Source Collection,Area Studies ; Irish Studies,320635033,2009-235098,2009-05-08,,dubllitegaze,dubllitegaze,nationalmagazine,1830-01-02,1830-06-26,3,binned_0,1830-01-02,1830-06-26,True,http://www.wikidata.org/entity/Q55174688,,The Dublin Literary Gazette,Area Studies ; Irish Studies,1,binned_0,True,True,2,2,,2,Q55174688,True,True
The National Magazine,2009-1656,,1830-07-01,1,1,1831-01-01,2,4,https://www-jstor-org.proxy2.library.illinois.edu/journal/nationalmagazine,,nationalmagazine,,fulltext,Publication of this title ceased in 1831.,,serial,,,,,,,dubllitegaze,P,1830-07-01 - 1831-01-01,Ireland Collection ; JSTOR Archival Journal & Primary Source Collection,Area Studies ; Irish Studies,320637451,2009-235097,2009-05-08,,dubllitegaze,dubllitegaze,nationalmagazine,1830-07-01,1831-01-01,3,binned_0,1830-07-01,1831-01-01,True,http://www.wikidata.org/entity/Q55174688,,The Dublin Literary Gazette,Area Studies ; Irish Studies,2,binned_0,True,True,2,2,,2,,True,True
The Journal of the Royal Geographical Society of London,0266-6235,,1831-01-01,1,,1880-01-01,50,,https://www-jstor-org.proxy2.library.illinois.edu/journal/jroyageogsocilon,,jroyageogsocilon,,fulltext,,Wiley,serial,,,,,,procroyageogsoc2,,P,1831-01-01 - 1880-01-01,JSTOR Essential Collection ; JSTOR Archival Journal & Primary Source Collection ; Arts & Sciences II Collection,Geography ; Social Sciences,51205390,2002-227356,2002-12-12,,jroyageogsocilon,jroyageogsocilon,procroyageogsoc2,1831-01-01,1880-01-01,210,binned_3,1831-01-01,1880-01-01,False,http://www.wikidata.org/entity/Q6296190,https://en.wikipedia.org/wiki/Journal_of_the_Royal_Geographical_Society_of_London,Journal of the Royal Geographical Society of London,Geography ; Social Sciences; Social Sciences ; Sustainability,50,binned_2,True,True,2,3,Wiley,3,Q6296190,True,True
Rheinisches Museum für Philologie,0035-449X,,1832-01-01,1,,2019-01-01,162,3/4,https://www-jstor-org.proxy2.library.illinois.edu/journal/rheimusephil,,rheimusephil,P4Y,fulltext,,J.D. Sauerländers Verlag,serial,,,,,,,rheimusephilgesc,P,1832-01-01 - 2019-01-01,JSTOR Archival Journal & Primary Source Collection ; Arts & Sciences XI Collection,Classical Studies ; Humanities,656638964,2013-234886,2012-06-15,,rheimusephilgesc,rheimusephilgesc,rheimusephil,1832-01-01,2019-01-01,194,binned_3,1832-01-01,2019-01-01,True,http://www.wikidata.org/entity/Q1452249,https://en.wikipedia.org/wiki/Rheinisches_Museum_f%C3%BCr_Philologie,Rheinisches Museum für Philologie,Classical Studies ; Humanities,188,binned_3,True,True,2,2,J.D. Sauerländers Verlag,2,Q1452249,True,True
The Dublin Penny Journal,2009-1338,,1832-06-30,1,1,1836-06-25,4,208,https://www-jstor-org.proxy2.library.illinois.edu/journal/dublpennj,,dublpennj,,fulltext,Publication of this title ceased in 1836.,,serial,,,,,,,,P,1832-06-30 - 1836-06-25,Ireland Collection ; JSTOR Archival Journal & Primary Source Collection,Area Studies ; Folklore ; History ; Humanities ; Irish Studies ; Science & Mathematics ; Zoology,248571359,2008-235300,2008-09-12,,dublpennj,dublpennj,dublpennj,1832-06-30,1836-06-25,5,binned_0,1832-06-30,1836-06-25,True,http://www.wikidata.org/entity/Q5310948,https://en.wikipedia.org/wiki/Dublin_Penny_Journal,Dublin Penny Journal,Area Studies ; Folklore ; History ; Humanities ; Irish Studies ; Science & Mathematics ; Zoology,5,binned_0,True,True,7,7,,7,Q5310948,True,True
Proceedings of the Statistical Society of London,2046-5890,,1834-01-01,1,1,1837-01-01,2,14,https://www-jstor-org.proxy2.library.illinois.edu/journal/prostatsoclon,,prostatsoclon,,fulltext,,Oxford University Press,serial,,,,,,jstatsocilond,,P,1834-01-01 - 1837-01-01,JSTOR Essential Collection ; JSTOR Archival Journal & Primary Source Collection ; Arts & Sciences I Collection ; Mathematics & Statistics Collection,Science & Mathematics ; Statistics,732907184,2011-235458,2011-06-24,,prostatsoclon,prostatsoclon,jstatsocilond,1834-01-01,1837-01-01,185,binned_3,1834-01-01,1837-01-01,True,,,,Science & Mathematics ; Statistics,4,binned_0,True,True,2,2,Oxford University Press,2,,True,False
Bulletin de la Société de l'histoire de France,0399-1334,2332-4171,1834-01-01,1,1,1861-01-01,3,,https://www-jstor-org.proxy2.library.illinois.edu/journal/bullsocdehisfra,,bullsocdehisfra,,fulltext,,Editions de Boccard,serial,,,,,,annuhistpouranne,,P,1834-01-01 - 1861-01-01,JSTOR Archival Journal & Primary Source Collection ; Arts & Sciences VIII Collection,History,669201180,2013274200,2013-10-25,,bullsocdehisfra,bullsocdehisfra,annuhistpouranne,1834-01-01,1861-01-01,209,binned_3,1834-01-01,1861-01-01,True,http://www.wikidata.org/entity/Q55452276,,Bulletin de la Société de l'histoire de France,History,28,binned_1,True,True,1,1,Editions de Boccard,1,Q55452276,True,True
The Journal of the Royal Asiatic Society of Great Britain and Ireland,0035-869X,,1834-02-01,1,1,1990-01-01,,2,https://www-jstor-org.proxy2.library.illinois.edu/journal/jroyasiasocgrbi,,jroyasiasocgrbi,,fulltext,,Cambridge University Press,serial,,,,,,jroyalasiasoci,tranrasgrbritire,P,1834-02-01 - 1990-01-01,JSTOR Archival Journal & Primary Source Collection ; Asia Collection ; Arts & Sciences V Collection,Area Studies ; Asian Studies,49342745,2009-236210,2009-07-31,,tranrasgrbritire,tranrasgrbritire,jroyalasiasoci,1834-02-01,1990-01-01,195,binned_3,1834-02-01,1990-01-01,True,http://www.wikidata.org/entity/Q6296185,https://en.wikipedia.org/wiki/Journal_of_the_Royal_Asiatic_Society,Journal of the Royal Asiatic Society,Area Studies ; Asian Studies,157,binned_3,True,True,2,2,Cambridge University Press,2,Q6296185,True,True
American Advocate of Peace (1834-1836),2159-5062,,1834-06-01,1,1,1836-12-01,2,11,https://www-jstor-org.proxy2.library.illinois.edu/journal/advopeace1834,,advopeace1834,,fulltext,,"Sage Publications, Inc.",serial,,,,,,advopeace1837,,P,1834-06-01 - 1836-12-01,Arts & Sciences VI Collection ; JSTOR Archival Journal & Primary Source Collection,International Relations ; Political Science ; Security Studies ; Social Sciences,567905392,2011235755,2011-06-24,,advopeace1834,advopeace1834,advopeace1837,1834-06-01,1836-12-01,191,binned_3,1834-06-01,1836-12-01,True,http://www.wikidata.org/entity/Q29698639,,American Advocate of Peace,International Relations ; Political Science ; Security Studies ; Social Sciences,3,binned_0,True,True,4,4,"Sage Publications, Inc.",4,Q29698639,True,True
Proceedings of the Royal Irish Academy (1836-1869),0302-7597,,1836-01-01,1,,1866-01-01,10,,https://www-jstor-org.proxy2.library.illinois.edu/journal/procria1836,,procria1836,,fulltext,,Royal Irish Academy,serial,,,,,,procriascience,,P,1836-01-01 - 1866-01-01,Ireland Collection ; JSTOR Archival Journal & Primary Source Collection,Archaeology ; Area Studies ; Biological Sciences ; Botany & Plant Sciences ; Environmental Science ; General Science ; History ; Humanities ; Irish Studies ; Language & Literature ; Mathematics ; Science & Mathematics ; Social Sciences,297603481,2009-235688,2009-10-09,,procria1836,procria1836,procriascience,1836-01-01,1866-01-01,416,binned_3,1836-01-01,1866-01-01,False,,,,Archaeology ; Area Studies ; Biological Sciences ; Botany & Plant Sciences ; Environmental Science ; General Science ; History ; Humanities ; Irish Studies ; Language & Literature ; Mathematics ; Science & Mathematics; Science & Mathematics ; Social Sciences,31,binned_2,True,True,13,13,Royal Irish Academy,13,,True,False
The Numismatic Journal,2054-913X,2054-9148,1836-06-01,1,,1837-06-01,2,,https://www-jstor-org.proxy2.library.illinois.edu/journal/numismaticj,,numismaticj,,fulltext,,Royal Numismatic Society,serial,,,,,,numichro,,P,1836-06-01 - 1837-06-01,JSTOR Archival Journal & Primary Source Collection ; Arts & Sciences XI Collection,Archaeology ; Art & Art History ; Arts ; Social Sciences,561627201,,2014-06-20,,numismaticj,numismaticj,numichro,1836-06-01,1837-06-01,184,binned_3,1836-06-01,1837-06-01,True,,,,Archaeology ; Art & Art History ; Arts ; Social Sciences,2,binned_0,True,True,4,4,Royal Numismatic Society,4,,True,False
Annuaire historique pour l'année ...,0399-1342,2332-418X,1837-01-01,1,,1863-01-01,27,,https://www-jstor-org.proxy2.library.illinois.edu/journal/annuhistpouranne,,annuhistpouranne,,fulltext,,Editions de Boccard,serial,,,,,,annbulsochistfra,bullsocdehisfra,P,1837-01-01 - 1863-01-01,JSTOR Archival Journal & Primary Source Collection ; Arts & Sciences VIII Collection,History,705144960,2013274201,2013-10-25,,bullsocdehisfra,bullsocdehisfra,annbulsochistfra,1837-01-01,1863-01-01,209,binned_3,1837-01-01,1863-01-01,True,http://www.wikidata.org/entity/Q55452276,,Bulletin de la Société de l'histoire de France,History,27,binned_1,True,True,1,1,Editions de Boccard,1,,True,True
The Advocate of Peace (1837-1845),2154-8382,,1837-06-01,1,1,1845-11-01,6,11/12,https://www-jstor-org.proxy2.library.illinois.edu/journal/advopeace1837,,advopeace1837,,fulltext,,"Sage Publications, Inc.",serial,,,,,,advopeacunivbro,advopeace1834,P,1837-06-01 - 1845-11-01,Arts & Sciences VI Collection ; JSTOR Archival Journal & Primary Source Collection,International Relations ; Political Science ; Security Studies ; Social Sciences,55938736,2006255467,2011-06-24,,advopeace1834,advopeace1834,advopeacunivbro,1837-06-01,1845-11-01,191,binned_3,1837-06-01,1845-11-01,True,http://www.wikidata.org/entity/Q29698481,,The Advocate of Peace,International Relations ; Political Science ; Security Studies ; Social Sciences,9,binned_0,True,True,4,4,"Sage Publications, Inc.",4,Q29698481,True,True
Proceedings of the American Philosophical Society,0003-049X,,1838-01-01,1,1,2020-06-01,164,2,https://www-jstor-org.proxy2.library.illinois.edu/journal/procamerphilsoci,,procamerphilsoci,,fulltext,Content for this title is released as soon as the latest issues become available to JSTOR.,American Philosophical Society,serial,,,,,,,,P,1838-01-01 - 2020-06-01,JSTOR Essential Collection ; JSTOR Archival Journal & Primary Source Collection ; Arts & Sciences VII Collection,History,55941028,2004-236857,2004-07-14,,procamerphilsoci,procamerphilsoci,procamerphilsoci,1838-01-01,2020-06-01,183,binned_3,1838-01-01,2020-06-01,True,http://www.wikidata.org/entity/Q6087079,https://en.wikipedia.org/wiki/Proceedings_of_the_American_Philosophical_Society,Proceedings of the American Philosophical Society,History,183,binned_3,True,True,1,1,American Philosophical Society,1,Q6087079,True,True
Journal of the Statistical Society of London,0959-5341,2397-2343,1838-05-01,1,1,1886-12-01,49,4,https://www-jstor-org.proxy2.library.illinois.edu/journal/jstatsocilond,,jstatsocilond,,fulltext,,Oxford University Press,serial,,,,,,jroyastatsoci,prostatsoclon,P,1838-05-01 - 1886-12-01,JSTOR Essential Collection ; JSTOR Archival Journal & Primary Source Collection ; Arts & Sciences I Collection ; Mathematics & Statistics Collection,Science & Mathematics ; Statistics,42016892,sn99-23414,1999-08-05,,prostatsoclon,prostatsoclon,jroyastatsoci,1838-05-01,1886-12-01,185,binned_3,1838-05-01,1886-12-01,True,http://www.wikidata.org/entity/Q6296202,https://en.wikipedia.org/wiki/Journal_of_the_Royal_Statistical_Society,Journal of the Royal Statistical Society,Science & Mathematics ; Statistics,49,binned_2,True,True,2,2,Oxford University Press,2,Q6296202,True,True
